,,Field,Type,Null,Key,Default,Extra,ADD/Old Field Names,0,1,2,3,4,5,6,7,8,9,10,11,12
structurefield,account,account_longname,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_shortname,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_modeid,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_webaddress,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_webstyle,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_codeversion,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contacttitle,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactfname,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactinits,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactsname,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactrole,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactaddr1,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactaddr2,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactaddr3,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactaddr4,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactpostcode,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contacthometel,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactworktel,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactmobiletel,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactfaxtel,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactpassword,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
structurefield,account,account_contactpasswordclue,tinytext,YES,,,,,cw,ocz,sw,aw,pos,cor,dmws,grl,care,db,kb,sfm,
